Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,20/11/2022 17:00,Al Bayt Stadium,Qatar,Ecuador,Group A,0 - 2
3,1,21/11/2022 14:00,Khalifa International Stadium,England,Iran,Group B,6 - 2
2,1,21/11/2022 17:00,Al Thumama Stadium,Senegal,Netherlands,Group A,0 - 2
4,1,21/11/2022 20:00,Ahmad Bin Ali Stadium,United States,Wales,Group B,1 - 1
8,1,22/11/2022 11:00,LUnited Statesil Stadium,Argentina,Saudi Arabia,Group C,1 - 2
6,1,22/11/2022 14:00,Education City Stadium,Denmark,Tunisia,Group D,0 - 0
7,1,22/11/2022 17:00,Stadium 974,Mexico,Poland,Group C,0 - 0
5,1,22/11/2022 20:00,Al Janoub Stadium,France,Australia,Group D,4 - 1
12,1,23/11/2022 11:00,Al Bayt Stadium,Morocco,Croatia,Group F,0 - 0
11,1,23/11/2022 14:00,Khalifa International Stadium,Germany,Japan,Group E,1 - 2
10,1,23/11/2022 17:00,Al Thumama Stadium,Spain,Costa Rica,Group E,7 - 0
9,1,23/11/2022 20:00,Ahmad Bin Ali Stadium,Belgium,Canada,Group F,1 - 0
13,1,24/11/2022 11:00,Al Janoub Stadium,Switzerland,Cameroon,Group G,1 - 0
14,1,24/11/2022 14:00,Education City Stadium,Uruguay,South Korea,Group H,0 - 0
15,1,24/11/2022 17:00,Stadium 974,Portugal,Ghana,Group H,3 - 2
16,1,24/11/2022 20:00,LUnited Statesil Stadium,Brazil,Serbia,Group G,2 - 0
17,2,25/11/2022 11:00,Ahmad Bin Ali Stadium,Wales,Iran,Group B,0 - 2
18,2,25/11/2022 14:00,Al Thumama Stadium,Qatar,Senegal,Group A,1 - 3
19,2,25/11/2022 17:00,Khalifa International Stadium,Netherlands,Ecuador,Group A,1 - 1
20,2,25/11/2022 20:00,Al Bayt Stadium,England,United States,Group B,0 - 0
21,2,26/11/2022 11:00,Al Janoub Stadium,Tunisia,Australia,Group D,0 - 1
22,2,26/11/2022 14:00,Education City Stadium,Poland,Saudi Arabia,Group C,2 - 0
23,2,26/11/2022 17:00,Stadium 974,France,Denmark,Group D,2 - 1
24,2,26/11/2022 20:00,LUnited Statesil Stadium,Argentina,Mexico,Group C,2 - 0
25,2,27/11/2022 11:00,Ahmad Bin Ali Stadium,Japan,Costa Rica,Group E,0 - 1
26,2,27/11/2022 14:00,Al Thumama Stadium,Belgium,Morocco,Group F,0 - 2
27,2,27/11/2022 17:00,Khalifa International Stadium,Croatia,Canada,Group F,4 - 1
28,2,27/11/2022 20:00,Al Bayt Stadium,Spain,Germany,Group E,1 - 1
29,2,28/11/2022 11:00,Al Janoub Stadium,Cameroon,Serbia,Group G,3 - 3
30,2,28/11/2022 14:00,Education City Stadium,South Korea,Ghana,Group H,2 - 3
31,2,28/11/2022 17:00,Stadium 974,Brazil,Switzerland,Group G,1 - 0
32,2,28/11/2022 20:00,LUnited Statesil Stadium,Portugal,Uruguay,Group H,2 - 0
35,3,29/11/2022 16:00,Khalifa International Stadium,Ecuador,Senegal,Group A,1 - 2
36,3,29/11/2022 16:00,Al Bayt Stadium,Netherlands,Qatar,Group A,2 - 0
33,3,29/11/2022 20:00,Ahmad Bin Ali Stadium,Wales,England,Group B,0 - 3
34,3,29/11/2022 20:00,Al Thumama Stadium,Iran,United States,Group B,0 - 1
37,3,30/11/2022 16:00,Al Janoub Stadium,Australia,Denmark,Group D,1 - 0
38,3,30/11/2022 16:00,Education City Stadium,Tunisia,France,Group D,1 - 0
39,3,30/11/2022 20:00,Stadium 974,Poland,Argentina,Group C,0 - 2
40,3,30/11/2022 20:00,LUnited Statesil Stadium,Saudi Arabia,Mexico,Group C,1 - 2
41,3,01/12/2022 16:00,Ahmad Bin Ali Stadium,Croatia,Belgium,Group F,0 - 0
42,3,01/12/2022 16:00,Al Thumama Stadium,Canada,Morocco,Group F,1 - 2
43,3,01/12/2022 20:00,Khalifa International Stadium,Japan,Spain,Group E,2 - 1
44,3,01/12/2022 20:00,Al Bayt Stadium,Costa Rica,Germany,Group E,2 - 4
45,3,02/12/2022 16:00,Al Janoub Stadium,Ghana,Uruguay,Group H,
46,3,02/12/2022 16:00,Education City Stadium,South Korea,Portugal,Group H,
47,3,02/12/2022 20:00,Stadium 974,Serbia,Switzerland,Group G,
48,3,02/12/2022 20:00,LUnited Statesil Stadium,Cameroon,Brazil,Group G,
49,Round of 16,03/12/2022 16:00,Khalifa International Stadium,A1,B2,,
50,Round of 16,03/12/2022 20:00,Ahmad Bin Ali Stadium,C1,D2,,
52,Round of 16,04/12/2022 16:00,Al Thumama Stadium,D1,C2,,
51,Round of 16,04/12/2022 20:00,Al Bayt Stadium,B1,A2,,
53,Round of 16,05/12/2022 16:00,Al Janoub Stadium,E1,F2,,
54,Round of 16,05/12/2022 20:00,Stadium 974,G1,H2,,
55,Round of 16,06/12/2022 16:00,Education City Stadium,F1,E2,,
56,Round of 16,06/12/2022 20:00,LUnited Statesil Stadium,H1,G2,,
58,Quarter Finals,09/12/2022 16:00,Education City Stadium,LS1,LS2,,
57,Quarter Finals,09/12/2022 20:00,LUnited Statesil Stadium,LS5,LS6,,
60,Quarter Finals,10/12/2022 16:00,Al Thumama Stadium,LS7,LS8,,
59,Quarter Finals,10/12/2022 20:00,Al Bayt Stadium,LS3,LS4,,
61,Semi Finals,13/12/2022 20:00,LUnited Statesil Stadium,QF1,QF2,,
62,Semi Finals,14/12/2022 20:00,Al Bayt Stadium,QF3,QF4,,
63,Finals,17/12/2022 16:00,Khalifa International Stadium,SF1,SF2,,
64,Finals,18/12/2022 16:00,LUnited Statesil Stadium,SF1,SF2,,
